GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0055085,321,-0.04832928758945172,0.2565994449004558,9.11253976856467e-14,3.128712599038875e-40,transmembrane transport,BP,7.153343718323265e-11,7.368118170736551e-37,7.368118170736551e-37,36.132643417489916
GO:0006397,369,-0.7140850372247957,-0.5638962835020068,0.002197762920600169,3.9194136605135565e-39,mRNA processing,BP,0.03155933950008169,4.6151095852547125e-36,4.6151095852547125e-36,35.33581798224232
GO:0006486,140,0.3133032316919236,0.42420738148064124,1.5836331031688276e-17,5.6660721269711846e-33,protein glycosylation,BP,1.947863764389147e-14,4.4478666196723796e-30,4.4478666196723796e-30,29.351848244629416
GO:0006811,335,-0.09680496372957464,0.19863650379484837,1.904840408576356e-11,9.232352298187384e-33,monoatomic ion transport,BP,1.1214747905493295e-8,5.435547415557822e-30,5.435547415557822e-30,29.26475671145179
GO:0008380,286,-0.7276925107450815,-0.5675513365813979,0.006568838016554891,5.905855270398586e-31,RNA splicing,BP,0.06725918925646421,2.781657832357734e-28,2.781657832357734e-28,27.55569629298458
GO:0007155,301,0.03796697018236057,0.17020049613818877,1.6542367425810167e-17,7.641958889633196e-26,cell adhesion,BP,1.947863764389147e-14,2.9994688641810294e-23,2.9994688641810294e-23,22.522955641872734
GO:0006338,276,-0.598881892540597,-0.4974087428269889,0.3953969543371526,2.632629346712405e-21,chromatin remodeling,BP,0.6877103600177211,7.749802639384643e-19,7.749802639384643e-19,18.11070935732822
GO:0006281,386,-0.7656973285012874,-0.44835387107859626,1.8773833476540865e-5,7.401495053353819e-20,DNA repair,BP,0.0011975496857468844,1.584592804604386e-17,1.584592804604386e-17,16.800082320470334
GO:0006325,376,-0.4686264840486107,-0.4427389244951079,0.8734761516626302,1.690841817788775e-19,chromatin organization,BP,0.9488158427103901,3.318277067410471e-17,3.318277067410471e-17,16.479087354350305
GO:0006364,149,-0.9549968813888835,-0.5462038513849955,6.593524169071645e-6,1.3878605763993155e-15,rRNA processing,BP,5.359900776078811e-4,2.3345797553002773e-13,2.3345797553002773e-13,12.63179128485369
GO:0051301,369,-0.6143685977090021,-0.40517251331550397,0.20263638936265616,2.57834518037844e-15,cell division,BP,0.4830047539970195,4.048001933194151e-13,4.048001933194151e-13,12.39275928876328
GO:0006260,106,-0.9408142580092498,-0.609172306928953,1.3483255789584127e-4,5.836584988767998e-14,DNA replication,BP,0.004410148247843142,8.590723530342896e-12,8.590723530342896e-12,11.065970257355875
GO:0045892,457,-0.6435203573560322,-0.3848642721396061,0.07768890791653545,2.499064919947396e-13,negative regulation of DNA-templated transcription,BP,0.29500062864569127,3.4619399332212453e-11,3.4619399332212453e-11,10.460680471670582
GO:0035725,71,0.11200673358585235,0.3494936937560276,1.6862124812955782e-6,3.9983304064818904e-13,sodium ion transmembrane transport,BP,1.8909668540243268e-4,5.231148948480474e-11,5.231148948480474e-11,10.28140291396564
GO:0000398,145,-0.7448565958182065,-0.5411845543029958,0.022865364146668222,4.833185650300394e-13,"mRNA splicing, via spliceosome",BP,0.1508345450011307,5.990606424451279e-11,5.990606424451279e-11,10.22252921209112
GO:0042254,118,-0.7608056875533399,-0.55597604162944525,0.02954146378408908,8.506306981866902e-13,ribosome biogenesis,BP,0.1717781412630365,1.0016176471148277e-10,1.0016176471148277e-10,9.999298032399345
GO:0007156,65,0.3260576733459338,0.30771058561085257,3.3378095597614334e-9,2.3213412503393107e-12,homophilic cell adhesion via plasma membrane adhesion molecules,BP,1.122934501891168e-6,2.603218402166227e-10,2.603218402166227e-10,9.584489394366113
GO:0006814,72,0.054776870353167466,0.2968482578303917,1.1061905294640152e-5,4.933432778361021e-12,sodium ion transport,BP,7.894177869356835e-4,5.051406170887046e-10,5.051406170887046e-10,9.296587709554784
GO:0034220,154,-0.20840300939899792,0.15299797291599482,3.296245336248445e-4,9.51743218569393e-12,monoatomic ion transmembrane transport,BP,0.008131288297414323,9.338980332212168e-10,9.338980332212168e-10,9.029700539216167
GO:0006396,84,-0.750121697939737,-0.6055603433727704,0.03381973429615715,2.7873687401964463e-11,RNA processing,BP,0.18608755669964974,2.6257013532650524e-9,2.6257013532650524e-9,8.580754672003131
GO:0006493,44,0.27703747984025606,0.4317543547122451,1.3962145480389098e-6,1.9050976115221137e-10,protein O-linked glycosylation,BP,1.6978015383634613e-4,1.6023231696909207e-8,1.6023231696909207e-8,7.795249887341056
GO:0006310,87,-0.6830212251323515,-0.5495357826057048,0.14924312817405935,5.223366811210443e-10,DNA recombination,BP,0.4114124113612125,4.241734082896756e-8,4.241734082896756e-8,7.372456561173173
GO:0006665,39,0.581793354266998,0.4061020775453496,8.117476319855785e-8,6.602820320527864e-10,sphingolipid metabolic process,BP,1.5930547277716978e-5,5.130794203932022e-8,5.130794203932022e-8,7.289815404539535
GO:0006506,30,-0.12259280839239912,0.4684031357587408,0.022492053011298998,6.753911690950857e-10,GPI anchor biosynthetic process,BP,0.1496293357107603,5.130794203932022e-8,5.130794203932022e-8,7.289815404539535
GO:0006812,40,0.29728879220072074,0.4311589182603888,6.600302441880489e-6,1.0369088680734902e-9,monoatomic cation transport,BP,5.359900776078811e-4,7.631001200978342e-8,7.631001200978342e-8,7.11741847809563
GO:0035556,330,-0.7049385315116423,-0.3705938174650936,0.009451454237466532,1.4327651884212533e-9,intracellular signal transduction,BP,0.08763060917021136,9.924005937447211e-8,9.924005937447211e-8,7.003312984565106
GO:0048511,125,-0.6057799802478215,-0.49404162472086094,0.46298583760773127,1.4126934866923428e-9,rhythmic process,BP,0.7422236557412626,9.924005937447211e-8,9.924005937447211e-8,7.003312984565106
GO:0098609,127,0.14736047899935403,0.07473710234217495,2.366846723768175e-10,5.485305047408017e-7,cell-cell adhesion,BP,1.1147848068948104e-7,2.050459267721568e-5,1.1147848068948104e-7,6.952808958802212
GO:0006869,129,-0.1232442436211768,0.1261671743751577,5.220033213919474e-5,3.0659391436169942e-9,lipid transport,BP,0.0024104271017216395,2.0629390523480064e-7,2.0629390523480064e-7,6.685513602671515
GO:0002181,119,-1.2845659815885997,-0.256244424979848,5.343510945126057e-10,0.17085346401587045,cytoplasmic translation,BP,2.0973280459619774e-7,0.3739000884208814,2.0973280459619774e-7,6.678333635624944
GO:0006487,51,0.15471217192545184,0.31208976636333235,2.2023586166368572e-5,3.4152564404226586e-9,protein N-linked glycosylation,BP,0.0013259773279033888,2.234146921443156e-7,2.234146921443156e-7,6.650888270309956
GO:0000226,130,-0.7106241523919817,-0.4629834465907276,0.11350565927922379,3.903616418496017e-9,microtubule cytoskeleton organization,BP,0.35507880137698616,2.484599098799492e-7,2.484599098799492e-7,6.604743676638924
GO:0006865,50,-0.051068785027044705,0.32387556277372725,0.0024867200106052662,5.544758574794383e-9,amino acid transport,BP,0.034652222632990545,3.4362911693791507e-7,3.4362911693791507e-7,6.46391004393943
GO:1902476,56,-0.05884390276022706,0.26672715649023815,0.001963774380209335,6.516876407746399e-9,chloride transmembrane transport,BP,0.02890430415870615,3.935190753908403e-7,3.935190753908403e-7,6.405034210862244
GO:0006412,271,-0.9611436080576147,-0.2894936893950731,3.838606192530805e-9,0.0024739510776627172,translation,BP,1.1299896979262557e-6,0.02008469601358571,1.1299896979262557e-6,5.946925515945053
GO:0006606,100,-0.7989200417002039,-0.47481548651380784,0.027674187269341063,1.9567329159267696e-8,protein import into nucleus,BP,0.16825386164614645,1.1520265042518855e-6,1.1520265042518855e-6,5.938537529143771
GO:0006874,63,0.22299575457943596,0.2299076640302947,2.972758591919325e-6,2.022513762116798e-8,intracellular calcium ion homeostasis,BP,2.9170193683208376e-4,1.153253396180568e-6,1.153253396180568e-6,5.938075257777308
