ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
MF,CLIP enrichment,Negative,1,GO:0030414,peptidase inhibitor activity,60,-1.6696852846212906,1.215522003601953e-11,10.915237175071228
MF,CLIP enrichment,Negative,2,GO:0004867,serine-type endopeptidase inhibitor activity,50,-1.804645258521267,1.864441266565867e-11,10.729451293186617
MF,CLIP enrichment,Negative,3,GO:0030020,extracellular matrix structural constituent conferring tensile strength,32,-1.3574097526121414,1.6965103299301803e-6,5.770443491622744
MF,CLIP enrichment,Negative,4,GO:0050840,extracellular matrix binding,25,-2.014205876400265,1.959714377500578e-6,5.707807221150926
MF,CLIP enrichment,Negative,5,GO:0016491,oxidoreductase activity,435,-0.1441565845365173,3.9691296698631975e-5,4.401304712635756
MF,CLIP enrichment,Negative,6,GO:0005518,collagen binding,51,-1.101540446303942,5.3495129963766415e-5,4.271685753046678
MF,CLIP enrichment,Negative,7,GO:0004930,G protein-coupled receptor activity,81,-0.5017535090647393,5.3495129963766415e-5,4.271685753046678
MF,CLIP enrichment,Negative,8,GO:0008201,heparin binding,94,-0.5982859943628807,5.3495129963766415e-5,4.271685753046678
MF,CLIP enrichment,Negative,9,GO:0004602,glutathione peroxidase activity,21,-1.8772982770675493,6.129618025176031e-5,4.212566588242919
MF,CLIP enrichment,Negative,10,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",46,-1.0951125393562111,8.238577283899886e-5,4.084147779941117
MF,CLIP enrichment,Negative,11,GO:0005201,extracellular matrix structural constituent,70,-0.696908278581213,2.841570043432546e-4,3.5464416343222838
MF,CLIP enrichment,Negative,12,GO:0005125,cytokine activity,63,-0.6460483065067341,2.8636914765892005e-4,3.5430737731073316
MF,CLIP enrichment,Negative,13,GO:0005509,calcium ion binding,381,-0.1476320064598018,2.8901939142945765e-4,3.5390730177684184
MF,CLIP enrichment,Negative,14,GO:0004364,glutathione transferase activity,26,-1.5422072535526092,4.385386477131236e-4,3.357992126929797
MF,CLIP enrichment,Negative,15,GO:0019003,GDP binding,68,-0.5239711924535394,5.174946540888892e-4,3.286094132270442
MF,CLIP enrichment,Positive,1,GO:0003735,structural constituent of ribosome,145,2.035384859392986,6.982904651065753e-15,14.155963888046154
MF,CLIP enrichment,Positive,2,GO:0003676,nucleic acid binding,488,0.8572558264585334,1.3056088222998638e-14,13.884186923952344
MF,CLIP enrichment,Positive,3,GO:0003682,chromatin binding,451,0.8081470042449994,7.493846225891471e-11,10.125295222895808
MF,CLIP enrichment,Positive,4,GO:0016887,ATP hydrolysis activity,334,0.8182741188545437,5.6950736474978404e-8,7.244500655343422
MF,CLIP enrichment,Positive,5,GO:0003729,mRNA binding,227,0.9356255398331887,6.486534677205886e-8,7.1879872558188325
MF,CLIP enrichment,Positive,6,GO:0004386,helicase activity,122,1.171451328344062,6.88745479586908e-8,7.161941238516789
MF,CLIP enrichment,Positive,7,GO:0106310,protein serine kinase activity,294,0.8582644352263563,1.635663327041589e-7,6.786306083461117
MF,CLIP enrichment,Positive,8,GO:0004674,protein serine/threonine kinase activity,336,0.8019068837372116,3.2173166840900577e-7,6.492506188901022
MF,CLIP enrichment,Positive,9,GO:0008168,methyltransferase activity,141,1.0553544831838375,1.3211971107067978e-6,5.879032384727419
MF,CLIP enrichment,Positive,10,GO:0042393,histone binding,140,0.964558457932735,7.021272610300558e-6,5.15358416457381
MF,CLIP enrichment,Positive,11,GO:0004672,protein kinase activity,410,0.7141163900287332,1.6545107347413224e-5,4.781330410720026
MF,CLIP enrichment,Positive,12,GO:0031267,small GTPase binding,266,0.7502617607106334,5.171784029123136e-5,4.286359619313387
MF,CLIP enrichment,Positive,13,GO:0004812,aminoacyl-tRNA ligase activity,40,1.5466258760438638,5.3495129963766415e-5,4.271685753046678
MF,CLIP enrichment,Positive,14,GO:0003697,single-stranded DNA binding,102,0.923899646290502,4.25035178808852e-4,3.3715751232901763
MF,CLIP enrichment,Positive,15,GO:0003724,RNA helicase activity,71,1.085767099039655,4.980378616521591e-4,3.302737640209004
MF,Expression change (KO),Negative,1,GO:0003735,structural constituent of ribosome,145,-0.06874905404016564,9.140678464862182e-7,6.039021567656733
MF,Expression change (KO),Negative,2,GO:0032977,membrane insertase activity,17,-0.09719492639572912,0.01083556753783369,1.965148336573569
MF,Expression change (KO),Negative,3,GO:0051082,unfolded protein binding,77,-0.02537427291172892,0.02148318524089253,1.667901326790591
MF,Expression change (KO),Negative,4,GO:0061630,ubiquitin protein ligase activity,297,-0.0125593198641916,0.03623531618820672,1.4408679446894508
MF,Expression change (KO),Negative,5,GO:0004386,helicase activity,122,-0.017962596181937,0.04247866877799947,1.37182910189429
MF,Expression change (KO),Negative,6,GO:0016251,RNA polymerase II general transcription initiation factor activity,35,-0.0399835373495107,0.04333762777274442,1.3631348648990649
MF,Expression change (KO),Negative,7,GO:0089720,caspase binding,11,-0.22822599072369237,0.04336038940666517,1.3629068261835418
MF,Expression change (KO),Negative,8,GO:0051087,protein-folding chaperone binding,97,-0.03494744837960099,0.04597506484348494,1.3374776495581213
MF,Expression change (KO),Positive,1,GO:0030020,extracellular matrix structural constituent conferring tensile strength,32,0.18047260933062256,7.691224813354352e-6,5.1140044940965534
MF,Expression change (KO),Positive,2,GO:0005201,extracellular matrix structural constituent,70,0.12093510122431785,7.691224813354352e-6,5.1140044940965534
MF,Expression change (KO),Positive,3,GO:0008201,heparin binding,94,0.10541068047659406,2.1174131982455192e-4,3.674194384206545
MF,Expression change (KO),Positive,4,GO:0003700,DNA-binding transcription factor activity,394,0.0576418764851372,2.1174131982455192e-4,3.674194384206545
MF,Expression change (KO),Positive,5,GO:0008307,structural constituent of muscle,13,0.22803895985785977,4.416465923556376e-4,3.354925116131303
MF,Expression change (KO),Positive,6,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",199,0.06953832915343489,7.494202528486411e-4,3.125274574410681
MF,Expression change (KO),Positive,7,GO:0038023,signaling receptor activity,103,0.08751971779768838,7.813592263174044e-4,3.1071492553167284
MF,Expression change (KO),Positive,8,GO:0045499,chemorepellent activity,22,0.15987497283520635,0.00211912983167039,2.673842434770692
MF,Expression change (KO),Positive,9,GO:0051015,actin filament binding,172,0.08153414680552062,0.00215864469307284,2.665818835450147
MF,Expression change (KO),Positive,10,GO:0005509,calcium ion binding,381,0.05559457909198267,0.00220778070797163,2.6560440659281213
MF,Expression change (KO),Positive,11,GO:0048407,platelet-derived growth factor binding,11,0.23338683177846928,0.00469933361024083,2.3279637228970715
MF,Expression change (KO),Positive,12,GO:0019900,kinase binding,101,0.08631039551309759,0.00788138746451987,2.10339732119792
MF,Expression change (KO),Positive,13,GO:0003779,actin binding,298,0.05745981900552895,0.00788138746451987,2.10339732119792
MF,Expression change (KO),Positive,14,GO:0050840,extracellular matrix binding,25,0.1669948636367272,0.01156178076960369,1.9369752698211395
MF,Expression change (KO),Positive,15,GO:0030215,semaphorin receptor binding,18,0.146652366690051,0.01245592397970667,1.9046240509934569
