GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0003735,145,2.035384859392986,-0.06874905404016564,3.06716163297178e-17,2.676626197617037e-9,structural constituent of ribosome,MF,6.9829046510657525e-15,9.140678464862182e-7,6.9829046510657525e-15,14.155963888046154
GO:0003676,488,0.8572558264585334,0.017514872549031564,7.646318139384268e-17,0.3339478073928657,nucleic acid binding,MF,1.3056088222998638e-14,0.7072197829610088,1.3056088222998638e-14,13.884186923952344
GO:0030414,60,-1.6696852846212906,-0.027232190606846934,1.0678084951115254e-13,0.7634146561019448,peptidase inhibitor activity,MF,1.215522003601953e-11,0.9377917448158781,1.215522003601953e-11,10.915237175071228
GO:0004867,50,-1.8046452585212667,-0.09749178515828244,1.9108475645623825e-13,0.6190801746829919,serine-type endopeptidase inhibitor activity,MF,1.8644412665658674e-11,0.8790681066704438,1.8644412665658674e-11,10.729451293186617
GO:0003682,451,0.8081470042449994,0.02462064937443688,8.777565125495136e-13,0.3281350890705612,chromatin binding,MF,7.493846225891472e-11,0.7025588270695715,7.493846225891472e-11,10.125295222895808
GO:0016887,334,0.8182741188545437,0.008139388021178428,1.0005985910684346e-9,0.014802078929634031,ATP hydrolysis activity,MF,5.6950736474978404e-8,0.12850930463048793,5.6950736474978404e-8,7.244500655343422
GO:0003729,227,0.9356255398331887,0.027155333578905743,1.2346259268473868e-9,0.6543266826375922,mRNA binding,MF,6.486534677205886e-8,0.8966351752083518,6.486534677205886e-8,7.1879872558188325
GO:0004386,122,1.171451328344062,-0.017962596181937008,1.4117769713348042e-9,0.002762699904959567,helicase activity,MF,6.88745479586908e-8,0.042478668777999475,6.88745479586908e-8,7.161941238516789
GO:0106310,294,0.8582644352263563,0.02120524268001676,3.5922327826682043e-9,0.8088449909635995,protein serine kinase activity,MF,1.635663327041589e-7,0.9490925635366386,1.635663327041589e-7,6.786306083461117
GO:0004674,336,0.8019068837372116,0.02137509155569085,7.536905848527222e-9,0.7938705777728265,protein serine/threonine kinase activity,MF,3.2173166840900577e-7,0.9458094677684361,3.2173166840900577e-7,6.492506188901022
GO:0008168,141,1.0553544831838375,0.02796445364276388,3.288484755785587e-8,0.9464050501252076,methyltransferase activity,MF,1.3211971107067978e-6,0.98542066851236,1.3211971107067978e-6,5.879032384727419
