ensembl_gene_id,symbol,clip_fpkm_mean,rna_case,rna_control,clip_enrichment,expr_change,localization_group
ENSMUSG00000000001,GNAI3,14.626153333333335,84.9214,82.7811,-2.4226621501505896,0.03639267460730401,Cytoplasm
ENSMUSG00000000028,CDC45,93.77730000000001,21.9469,25.9918,1.8120203733976852,-0.23422192226469477,Nucleus
ENSMUSG00000000037,SCML2,230.388,29.416,35.1652,2.6776400117024717,-0.24977169294519233,Unannotated
ENSMUSG00000000056,NARF,8.724693333333335,7.76909,7.22987,0.24078311381077924,0.09155749494042247,Unannotated
ENSMUSG00000000058,CAV2,0,5.56129,6.00284,-2.8079401253409815,-0.09396063768668042,Cytoplasm
ENSMUSG00000000078,KLF6,3.801633333333333,19.5079,19.6404,-2.1038737851926514,-0.00929116165727248,Unannotated
ENSMUSG00000000085,SCMH1,71.22345333333332,12.927,14.6118,2.209830517880485,-0.1647523638697288,Nucleus
ENSMUSG00000000088,COX5A,68.49623333333334,209.292,192.941,-1.4806111363081111,0.1167761397063436,Unannotated
ENSMUSG00000000093,TBX2,0,5.49076,3.91162,-2.296198947246698,0.40218846534401287,Nucleus
ENSMUSG00000000103,ZFY2,0.12576233333333334,1.24475,2.05071,-1.4382427608085266,-0.44259026451971745,Nucleus
ENSMUSG00000000120,NGFR,0.968962,1.25675,0.683083,0.2263289443353028,0.4231402835256083,Integral Membrane
ENSMUSG00000000126,WNT9A,0,1.92354,1.57877,-1.3666831051719355,0.18103322529564916,Unannotated
ENSMUSG00000000127,FER,15.131066666666669,9.00387,9.13584,0.6703761838377084,-0.018907441036041403,Nucleus
ENSMUSG00000000131,XPO6,97.76586666666667,22.6642,23.7053,1.999191959989796,-0.06211442408347051,Unannotated
ENSMUSG00000000134,TFE3,25.5385,24.5182,24.554,0.05453769377589576,-0.002022567695266708,Nucleus
ENSMUSG00000000142,AXIN2,39.377966666666666,7.60516,6.82738,2.3669668710109577,0.1366725313941344,Nucleus
ENSMUSG00000000148,BRAT1,25.193133333333332,10.4246,10.2283,1.2220491355939986,0.025004138591122223,Nucleus
ENSMUSG00000000149,GNA12,46.81523333333333,56.0038,52.8069,-0.17032087460567139,0.08326690516191865,Cytoplasm
ENSMUSG00000000167,PIH1D2,3.309476666666667,1.36964,1.79009,0.6272010223967093,-0.2356437609260435,Cytoplasm
ENSMUSG00000000168,DLAT,28.60973,10.5496,10.184,1.4046350693555718,0.046406621485538174,Unannotated
ENSMUSG00000000171,SDHD,27.999366666666663,89.5635,89.6092,-1.6436361489049731,-7.278267064184657e-4,Integral Membrane
ENSMUSG00000000184,CCND2,103.64609999999999,33.7049,29.5987,1.7739762797963783,0.1816690112780001,Nucleus
ENSMUSG00000000194,GPR107,47.454499999999996,14.588,14.2088,1.6717243293832285,0.03552951014139363,Integral Membrane
ENSMUSG00000000197,NALCN,0,1.55214,1.11753,-1.0823824090118472,0.26932506263239164,Unannotated
