GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0009986,438,0.16411573826077688,0.21554294338181018,8.188228097602513e-35,6.048779872924112e-46,cell surface,ALL,4.876089832122296e-32,1.964753680541623e-43,1.964753680541623e-43,42.706691888996936
GO:0003676,495,-0.6587029424214416,-0.518563389331258,0.025648745168937157,6.211441092049203e-41,nucleic acid binding,ALL,0.14252405363703335,1.707190693991677e-38,1.707190693991677e-38,37.76771796528083
GO:0055085,321,-0.04832928758945172,0.2565994449004558,9.11253976856467e-14,3.128712599038875e-40,transmembrane transport,ALL,1.808839144060087e-11,7.98492151168993e-38,7.98492151168993e-38,37.09772934843063
GO:0006397,369,-0.7140850372247957,-0.5638962835020068,0.002197762920600169,3.9194136605135565e-39,mRNA processing,ALL,0.02608839506745649,9.336043339343291e-37,9.336043339343291e-37,36.0298371408965
GO:0000139,481,-0.017944158534372055,0.13583348252472704,9.550590108093774e-24,4.020736505460715e-34,Golgi membrane,ALL,3.102205314201732e-21,7.981161963339519e-32,7.981161963339519e-32,31.097933875876045
GO:0006486,140,0.3133032316919236,0.42420738148064124,1.5836331031688276e-17,5.6660721269711846e-33,protein glycosylation,ALL,4.221848486601409e-15,9.64041700460383e-31,9.64041700460383e-31,30.015904179906148
GO:0006811,335,-0.09680496372957464,0.19863650379484837,1.904840408576356e-11,9.232352298187384e-33,monoatomic ion transport,ALL,2.7223979119373277e-9,1.4994179437010691e-30,1.4994179437010691e-30,29.824077296208507
GO:0008380,286,-0.7276925107450815,-0.5675513365813979,0.006568838016554891,5.905855270398586e-31,RNA splicing,ALL,0.05752563292438879,8.792342033805896e-29,8.792342033805896e-29,28.055895425622644
GO:0003682,454,-0.5909294069930145,-0.48001119573912704,0.32423489354917706,9.069717387874796e-30,chromatin binding,ALL,0.597330042470712,1.2962440090750657e-27,1.2962440090750657e-27,26.887313237801862
GO:0016607,376,-0.685646463258106,-0.5042390819781943,0.004125819083601775,1.0537150615645427e-29,nuclear speck,ALL,0.04129286158461944,1.448047659603889e-27,1.448047659603889e-27,26.839217143965975
GO:0009897,180,0.26041864489571936,0.3052722817681546,4.1897055663603334e-18,2.613145042691161e-26,external side of plasma membrane,ALL,1.2474848323837892e-15,3.3345597276912564e-24,3.3345597276912564e-24,23.476961499215662
GO:0007155,301,0.03796697018236057,0.17020049613818877,1.6542367425810167e-17,7.641958889633196e-26,cell adhesion,ALL,4.221848486601409e-15,9.101573037553136e-24,9.101573037553136e-24,23.040883541471228
GO:0003729,244,-0.6349017509027599,-0.5518379102559416,0.36092314493416483,2.9901276127443623e-25,mRNA binding,ALL,0.6343228710525189,3.4463632130114863e-23,3.4463632130114863e-23,22.462638954080635
GO:0000785,438,-0.6386937178197235,-0.45499704575553296,0.026944759459480626,6.426428276308907e-25,chromatin,ALL,0.14631250083392747,7.175508822266163e-23,7.175508822266163e-23,22.144147297260538
GO:0031012,215,-0.02257530579556072,0.24266588919891596,1.0311735844189511e-10,4.252888051012106e-24,extracellular matrix,ALL,1.270476971423763e-8,4.604717880686743e-22,4.604717880686743e-22,21.336796972766642
GO:0022857,128,-0.05572845693112702,0.3244107886611536,2.0521228893625726e-6,3.5740476128934677e-22,transmembrane transporter activity,ALL,1.2220391806154119e-4,3.755903564961283e-20,3.755903564961283e-20,19.425285567029686
GO:0004386,124,-0.8844796667800243,-0.6913259059413268,2.7118346648529726e-4,6.95164551416304e-22,helicase activity,ALL,0.005700252400967566,6.899508172806817e-20,6.899508172806817e-20,19.16118186657419
GO:0006338,276,-0.598881892540597,-0.4974087428269889,0.3953969543371526,2.632629346712405e-21,chromatin remodeling,ALL,0.664825090751363,2.542266123190114e-19,2.542266123190114e-19,18.594778989665745
GO:0005788,90,0.5357616834141383,0.4025826187069163,4.228667449532619e-17,2.9452732289065585e-21,endoplasmic reticulum lumen,ALL,1.0072685864786698e-14,2.698323396636701e-19,2.698323396636701e-19,18.568906000936185
GO:0005764,397,-0.3135666803771138,0.09894439023058874,1.794133758703305e-5,1.7208327097328915e-20,lysosome,ALL,7.28459081800785e-4,1.4639369694941955e-18,1.4639369694941955e-18,17.834477621631553
GO:0006281,386,-0.7656973285012874,-0.44835387107859626,1.8773833476540865e-5,7.401495053353819e-20,DNA repair,ALL,7.388730552263245e-4,6.0103504149166354e-18,6.0103504149166354e-18,17.221100207060772
GO:0006325,376,-0.4686264840486107,-0.4427389244951079,0.8734761516626302,1.690841817788775e-19,chromatin organization,ALL,0.9478944699070899,1.3425284033242875e-17,1.3425284033242875e-17,16.8720765173405
GO:0005681,172,-0.6879406292411616,-0.5530365775352046,0.13234043195808837,2.874245775283675e-17,spliceosomal complex,ALL,0.3720317571882374,2.2325391641496895e-15,2.2325391641496895e-15,14.651200913794439
GO:0016757,167,0.1113839400669905,0.2215390319120921,2.845907158367336e-12,3.125575180507797e-17,glycosyltransferase activity,ALL,4.4210549029767356e-10,2.3761021531817787e-15,2.3761021531817787e-15,14.62413489213803
GO:0005874,313,-0.6864674828761401,-0.4392718355459584,0.015510508979285206,7.345204063483996e-16,microtubule,ALL,0.10611722279502932,5.248882823765663e-14,5.248882823765663e-14,13.27993312232807
GO:0003724,69,-0.9772170015231001,-0.7554754892376431,6.053073902806624e-4,1.1916042873767991e-15,RNA helicase activity,ALL,0.010003330695852417,8.348239448622164e-14,8.348239448622164e-14,13.078405102763757
GO:0006364,149,-0.9549968813888835,-0.5462038513849955,6.593524169071645e-6,1.3878605763993155e-15,rRNA processing,ALL,3.10295175053022e-4,9.536203537451452e-14,9.536203537451452e-14,13.020624488072727
GO:0005765,268,-0.36004397140792294,0.10347420510686985,0.009713661156688026,1.8253216919856137e-15,lysosomal membrane,ALL,0.07695545745642199,1.2305423406536976e-13,1.2305423406536976e-13,12.909903438445612
GO:0004888,82,0.23544942791539275,0.3649653343551895,7.481772007562236e-10,1.9083099871559368e-15,transmembrane signaling receptor activity,ALL,8.35386605719371e-8,1.2626651081681782e-13,1.2626651081681782e-13,12.898711820434661
GO:0051301,369,-0.6143685977090021,-0.40517251331550397,0.20263638936265616,2.57834518037844e-15,cell division,ALL,0.4671095607695293,1.6749867871803941e-13,1.6749867871803941e-13,12.775988614464318
GO:0016324,275,-0.01982272210566181,0.09270019005528496,7.375446132917639e-13,3.464684484068031e-15,apical plasma membrane,ALL,1.254879477757844e-10,2.2105924395669778e-13,2.2105924395669778e-13,12.655491319638699
GO:0016323,192,0.08046416795955819,0.1499446372414197,4.3424754904748915e-13,4.141190367092264e-15,basolateral plasma membrane,ALL,7.757832463733394e-11,2.595872488003624e-13,2.595872488003624e-13,12.585716644351054
GO:0043235,119,0.29834729853459857,0.23685556776961808,3.2839861724936053e-13,5.412352854618768e-15,receptor complex,ALL,6.175622418062974e-11,3.334195991302217e-13,3.334195991302217e-13,12.477008874982129
GO:0005509,372,-0.04738312384579784,0.022883293796762894,1.7295308670500025e-15,4.447489907448316e-12,calcium ion binding,ALL,3.8622586174810367e-13,1.8695154634485688e-10,3.8622586174810367e-13,12.413158649152042
GO:0005667,202,-0.7948393781148995,-0.48476359483477954,0.0012059229589371858,1.025461775536032e-14,transcription regulator complex,ALL,0.01650866947234699,6.084656916774423e-13,6.084656916774423e-13,12.215763904426895
GO:0005819,212,-0.725295967611136,-0.47961694352088163,0.021099472994809042,1.0388023283605927e-14,spindle,ALL,0.12713055145101637,6.084656916774423e-13,6.084656916774423e-13,12.215763904426895
GO:0038023,94,0.3676453942670848,0.2825172762531806,2.2926453931158606e-14,4.3015714826205174e-14,signaling receptor activity,ALL,4.818601170354688e-12,2.4396055408576366e-12,2.4396055408576366e-12,11.612680388939044
GO:0003713,231,-0.7158723890775044,-0.4660559901710616,0.01734958874901775,4.4494105880216104e-14,transcription coactivator activity,ALL,0.11169383891935211,2.4840225048439398e-12,2.4840225048439398e-12,11.604844473839554
GO:0006260,106,-0.9408142580092498,-0.609172306928953,1.3483255789584127e-4,5.836584988767998e-14,DNA replication,ALL,0.0033455328427905618,3.2083258715181625e-12,3.2083258715181625e-12,11.493721526605281
GO:0005604,77,0.1756265758575759,0.33607456637388083,5.428668399183759e-9,6.87098018320541e-14,basement membrane,ALL,5.225168470677444e-7,3.719698817362565e-12,3.719698817362565e-12,11.429492223358112
GO:0004930,109,0.10372604577175996,0.2528584530276621,1.2479505253376135e-8,8.297897243759115e-14,G protein-coupled receptor activity,ALL,1.1147318067578233e-6,4.425132365962883e-12,4.425132365962883e-12,11.354073734017568
GO:0015293,68,0.015392880251560014,0.37957917312038386,2.697541655922778e-4,1.0976661368115217e-13,symporter activity,ALL,0.005700252400967566,5.767589862981716e-12,5.767589862981716e-12,11.239005630150077
GO:0045892,457,-0.6435203573560322,-0.3848642721396061,0.07768890791653545,2.499064919947396e-13,negative regulation of DNA-templated transcription,ALL,0.27647656173882584,1.2940810085466732e-11,1.2940810085466732e-11,10.888038536292036
GO:0003779,299,-0.475499874064932,-0.42451773480137406,0.3321073455031743,2.9785401096942136e-13,actin binding,ALL,0.6054181354504294,1.5050546441943157e-11,1.5050546441943157e-11,10.822447731803534
GO:0005201,57,0.06756169574290388,0.4149435243103418,5.919142478538795e-5,2.990732710265783e-13,extracellular matrix structural constituent,ALL,0.0016919276860655292,1.5050546441943157e-11,1.5050546441943157e-11,10.822447731803534
GO:0019901,445,-0.6880367639557541,-0.3667903901010358,8.367928040992787e-4,3.724550063323454e-13,protein kinase binding,ALL,0.01250987736002813,1.848307968924264e-11,1.848307968924264e-11,10.733225664035285
GO:0035725,71,0.11200673358585235,0.3494936937560276,1.6862124812955782e-6,3.9983304064818904e-13,sodium ion transmembrane transport,ALL,1.0211588467235764e-4,1.9569910331999718e-11,1.9569910331999718e-11,10.708411164245266
GO:0000398,145,-0.7448565958182065,-0.5411845543029958,0.022865364146668222,4.833185650300394e-13,"mRNA splicing, via spliceosome",ALL,0.13349337597393063,2.3336449092599065e-11,2.3336449092599065e-11,10.631965226131742
GO:0031267,267,-0.6261655655048985,-0.42252146754848235,0.07641038506618675,5.746355099892257e-13,small GTPase binding,ALL,0.2724693671072707,2.7375635695886713e-11,2.7375635695886713e-11,10.562635787183412
