GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0009986,438,0.16411573826077688,0.21554294338181018,8.188228097602513e-35,6.048779872924112e-46,cell surface,CC,7.464934615647625e-33,3.3086825904894893e-44,3.3086825904894893e-44,43.48034489370772
GO:0000139,481,-0.017944158534372055,0.13583348252472704,9.550590108093774e-24,4.020736505460715e-34,Golgi membrane,CC,4.749247990115722e-22,1.6918022065284702e-32,1.6918022065284702e-32,31.771650412948585
GO:0016607,376,-0.685646463258106,-0.5042390819781943,0.004125819083601775,1.0537150615645427e-29,nuclear speck,CC,0.027190639020845432,3.390483168681205e-28,3.390483168681205e-28,27.469738407242442
GO:0009897,180,0.26041864489571936,0.3052722817681546,4.1897055663603334e-18,2.613145042691161e-26,external side of plasma membrane,CC,1.909807453999252e-16,7.94105743528925e-25,7.94105743528925e-25,24.10012166284576
GO:0000785,438,-0.6386937178197235,-0.45499704575553296,0.026944759459480626,6.426428276308907e-25,chromatin,CC,0.10527702445954215,1.850134877442617e-23,1.850134877442617e-23,22.73279660976247
GO:0031012,215,-0.02257530579556072,0.24266588919891596,1.0311735844189511e-10,4.252888051012106e-24,extracellular matrix,CC,2.685961669891268e-9,1.163164881951811e-22,1.163164881951811e-22,21.934358718421745
GO:0005788,90,0.5357616834141383,0.4025826187069163,4.228667449532619e-17,2.9452732289065585e-21,endoplasmic reticulum lumen,CC,1.7792931499187252e-15,7.671735505770893e-20,7.671735505770893e-20,19.115106378512614
GO:0005764,397,-0.3135666803771138,0.09894439023058874,1.794133758703305e-5,1.7208327097328915e-20,lysosome,CC,2.9733355428579065e-4,4.278615873744962e-19,4.278615873744962e-19,18.36869670192487
GO:0005681,172,-0.6879406292411616,-0.5530365775352046,0.13234043195808837,2.874245775283675e-17,spliceosomal complex,CC,0.33054893279029374,6.835706256870306e-16,6.835706256870306e-16,15.165216607999467
GO:0005874,313,-0.6864674828761401,-0.4392718355459584,0.015510508979285206,7.345204063483996e-16,microtubule,CC,0.07420632696209907,1.6740944261357276e-14,1.6740944261357276e-14,13.776220049572665
GO:0005765,268,-0.36004397140792294,0.10347420510686985,0.009713661156688026,1.8253216919856137e-15,lysosomal membrane,CC,0.05421808829294235,3.9938038620645226e-14,3.9938038620645226e-14,13.398613267385871
GO:0016324,275,-0.01982272210566181,0.09270019005528496,7.375446132917639e-13,3.464684484068031e-15,apical plasma membrane,CC,2.5214806466912176e-11,7.289163126096974e-14,7.289163126096974e-14,13.137322330472326
GO:0016323,192,0.08046416795955819,0.1499446372414197,4.3424754904748915e-13,4.141190367092264e-15,basolateral plasma membrane,CC,1.5835560621931773e-11,8.38974492888692e-14,8.38974492888692e-14,13.07625124270656
GO:0043235,119,0.29834729853459857,0.23685556776961808,3.2839861724936053e-13,5.412352854618768e-15,receptor complex,CC,1.28310031168143e-11,1.0573417898130235e-13,1.0573417898130235e-13,12.975784602630421
GO:0005667,202,-0.7948393781148995,-0.48476359483477954,0.0012059229589371858,1.025461775536032e-14,transcription regulator complex,CC,0.010470473945057788,1.8329834632685296e-13,1.8329834632685296e-13,12.73684145311941
GO:0005819,212,-0.725295967611136,-0.47961694352088163,0.021099472994809042,1.0388023283605927e-14,spindle,CC,0.09087725770205154,1.8329834632685296e-13,1.8329834632685296e-13,12.73684145311941
GO:0005604,77,0.1756265758575759,0.33607456637388083,5.428668399183759e-9,6.87098018320541e-14,basement membrane,CC,1.3497643701606893e-7,1.1745081750666748e-12,1.1745081750666748e-12,11.930143956005157
GO:0071013,88,-0.658851548449039,-0.6362645183389134,0.3245841140208661,7.750205517098611e-13,catalytic step 2 spliceosome,CC,0.5470674022555859,1.2846552781372544e-11,1.2846552781372544e-11,10.891213394424154
