GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0003676,495,-0.6587029424214416,-0.518563389331258,0.025648745168937157,6.211441092049203e-41,nucleic acid binding,MF,0.12970895575966793,2.0839384863825074e-38,2.0839384863825074e-38,37.68111510467142
GO:0003682,454,-0.5909294069930145,-0.48001119573912704,0.32423489354917706,9.069717387874796e-30,chromatin binding,MF,0.5885690438218611,1.521445091815997e-27,1.521445091815997e-27,26.817743716491236
GO:0003729,244,-0.6349017509027599,-0.5518379102559416,0.36092314493416483,2.9901276127443623e-25,mRNA binding,MF,0.6135653036654002,2.866250897359239e-23,2.866250897359239e-23,22.542685796294066
GO:0022857,128,-0.05572845693112702,0.3244107886611536,2.0521228893625726e-6,3.5740476128934677e-22,transmembrane transporter activity,MF,9.835531848302045e-5,2.997732435314396e-20,2.997732435314396e-20,19.52320713301282
GO:0004386,124,-0.8844796667800243,-0.6913259059413268,2.7118346648529726e-4,6.95164551416304e-22,helicase activity,MF,0.005055103020946996,5.182837933337111e-20,5.182837933337111e-20,19.285432371279676
GO:0016757,167,0.1113839400669905,0.2215390319120921,2.845907158367336e-12,3.125575180507797e-17,glycosyltransferase activity,MF,6.365345677548275e-10,1.74771745510061e-15,1.74771745510061e-15,14.757528776283387
GO:0003724,69,-0.9772170015231001,-0.7554754892376431,6.053073902806624e-4,1.1916042873767991e-15,RNA helicase activity,MF,0.008319510687474555,5.711189120213088e-14,5.711189120213088e-14,13.243273458377505
GO:0004888,82,0.23544942791539275,0.3649653343551895,7.481772007562236e-10,1.9083099871559368e-15,transmembrane signaling receptor activity,MF,1.004053803414852e-7,8.536506675877558e-14,8.536506675877558e-14,13.06871981570082
GO:0005509,372,-0.04738312384579784,0.022883293796762894,1.7295308670500025e-15,4.447489907448316e-12,calcium ion binding,MF,1.1605152117905517e-12,1.0658091885349359e-10,1.1605152117905517e-12,11.935349162529564
GO:0003713,231,-0.7158723890775044,-0.4660559901710616,0.01734958874901775,4.4494105880216104e-14,transcription coactivator activity,MF,0.10152454330926294,1.6586413914236116e-12,1.6586413914236116e-12,11.78024750099242
GO:0038023,94,0.3676453942670848,0.2825172762531806,2.2926453931158606e-14,4.3015714826205174e-14,signaling receptor activity,MF,7.691825293903713e-12,1.6586413914236116e-12,1.6586413914236116e-12,11.78024750099242
GO:0004930,109,0.10372604577175996,0.2528584530276621,1.2479505253376135e-8,8.297897243759115e-14,G protein-coupled receptor activity,MF,1.0467185031269232e-6,2.930467921348614e-12,2.930467921348614e-12,11.533063028303019
GO:0015293,68,0.015392880251560014,0.37957917312038386,2.697541655922778e-4,1.0976661368115217e-13,symporter activity,MF,0.005055103020946996,3.682669889002655e-12,3.682669889002655e-12,11.433837209141268
GO:0003779,299,-0.475499874064932,-0.42451773480137406,0.3321073455031743,2.9785401096942136e-13,actin binding,MF,0.5898171926960577,9.121734766310638e-12,9.121734766310638e-12,11.039922559940113
GO:0005201,57,0.06756169574290388,0.4149435243103418,5.919142478538795e-5,2.990732710265783e-13,extracellular matrix structural constituent,MF,0.00128120793648372,9.121734766310638e-12,9.121734766310638e-12,11.039922559940113
GO:0019901,445,-0.6880367639557541,-0.3667903901010358,8.367928040992787e-4,3.724550063323454e-13,protein kinase binding,MF,0.01059411267076634,1.0865969967347991e-11,1.0865969967347991e-11,10.963931499655056
GO:0031267,267,-0.6261655655048985,-0.42252146754848235,0.07641038506618675,5.746355099892257e-13,small GTPase binding,MF,0.2538186553436203,1.606585113344877e-11,1.606585113344877e-11,10.794096261536767
GO:0016887,327,-0.4589062309863095,-0.4111434454518055,0.37655310116760904,2.0036765200511834e-12,ATP hydrolysis activity,MF,0.6162612948377211,5.377867779817376e-11,5.377867779817376e-11,10.269389879539567
GO:0019838,35,0.46251518242292505,0.5344892356924604,4.303839237586696e-6,3.3878601871696453e-12,growth factor binding,MF,1.6987506637768663e-4,8.743285329195508e-11,8.743285329195508e-11,10.058325348573389
GO:0005096,203,-0.8004513116780992,-0.4529027900146236,4.565354954195683e-4,4.2796969508273824e-12,GTPase activator activity,MF,0.006807451498367341,1.0635839459278421e-10,1.0635839459278421e-10,9.973228226669137
GO:0003700,376,-0.6507133255419427,-0.37742112740032563,0.09119041355337726,6.245032678629257e-12,DNA-binding transcription factor activity,MF,0.279400764814229,1.4449713542621487e-10,1.4449713542621487e-10,9.840140762463967
GO:0008201,78,0.31544251888815605,0.2464424079554802,6.816483366229316e-11,4.4350321318752115e-11,heparin binding,MF,1.1434650846849678e-8,9.91968853496089e-10,9.91968853496089e-10,9.003501963901403
GO:0051015,175,-0.48263701567308565,-0.4696765435108954,0.6000943376889458,4.943677446769969e-11,actin filament binding,MF,0.7829224653776098,1.070066957026661e-9,1.070066957026661e-9,8.970589046466747
GO:0061629,151,-0.6574714289297237,-0.4735149767268952,0.21377407774906917,7.301526184522139e-11,RNA polymerase II-specific DNA-binding transcription factor binding,MF,0.46572209795332925,1.531038771816986e-9,1.531038771816986e-9,8.815013811148269
GO:0003730,87,-0.6880067948419387,-0.5572710760485748,0.33265645064092675,1.1882554004349962e-10,mRNA 3'-UTR binding,MF,0.5898171926960577,2.4161193142178255e-9,2.4161193142178255e-9,8.6168816229371
GO:0015297,79,-0.06425854380218143,0.2544836131379776,5.918522492079285e-4,1.3930496101577386e-10,antiporter activity,MF,0.008319510687474555,2.7492243776936544e-9,2.7492243776936544e-9,8.560789813806009
GO:0042393,142,-0.6299972155382608,-0.4902429034878376,0.3514060569079508,3.5884980617139514e-10,histone binding,MF,0.6030523380696547,6.879663426885889e-9,6.879663426885889e-9,8.162432808192067
GO:0001228,275,-0.6716114559448745,-0.39000679973797747,0.048958249677658536,4.4120155139726777e-10,"DNA-binding transcription activator activity, RNA polymerase II-specific",MF,0.19554158055779094,8.001249756420721e-9,8.001249756420721e-9,8.09684217301723
GO:0106310,300,-0.6968006263771069,-0.3719477434848246,0.01930626735926403,8.8142775124259e-10,protein serine kinase activity,MF,0.10978394405140818,1.5564158449573103e-8,1.5564158449573103e-8,7.807874356548263
GO:0003697,104,-0.6421783691036849,-0.5153451235485437,0.26164380380283264,4.142988348171617e-9,single-stranded DNA binding,MF,0.5289237787528007,7.1280645682645e-8,7.1280645682645e-8,7.147028374976516
GO:0017147,26,0.4616663320647488,0.5577237581311405,6.903905899256741e-6,5.033446449575981e-9,Wnt-protein binding,MF,2.4381688728427757e-4,8.443606419163707e-8,8.443606419163707e-8,7.0734720186103655
GO:0004714,34,0.7789175410097127,0.3880189891929379,9.680961383518019e-10,2.1006304805848644e-8,transmembrane receptor protein tyrosine kinase activity,MF,1.0826541813900984e-7,3.1322734499387644e-7,1.0826541813900984e-7,6.965510242449155
GO:0004674,342,-0.6433894024395019,-0.34643314141132836,0.07017476472422644,1.2908806016906013e-8,protein serine/threonine kinase activity,MF,0.24147316476900485,2.1126363017912038e-7,2.1126363017912038e-7,6.6751752619256335
GO:0043565,321,-0.5984802767842485,-0.368281669317572,0.37875950367127825,1.4318127418758334e-8,sequence-specific DNA binding,MF,0.6176489506352028,2.2874913090444863e-7,2.2874913090444863e-7,6.640640547290451
GO:0001227,206,-0.7103074745094843,-0.4122364998459566,0.10645384757188785,1.547498849385025e-8,"DNA-binding transcription repressor activity, RNA polymerase II-specific",MF,0.306568805668398,2.4148179719473295e-7,2.4148179719473295e-7,6.61711560063018
GO:0003824,259,-0.7749103454984035,-0.38306565495723877,2.712126807065452e-4,1.963692841704374e-8,catalytic activity,MF,0.005055103020946996,2.9946315835991703e-7,2.9946315835991703e-7,6.523656599335319
GO:0030246,106,-0.10910214028130415,0.14289330545201753,5.9100977628412753e-5,3.121009479819493e-8,carbohydrate binding,MF,0.00128120793648372,4.5526029586062605e-7,4.5526029586062605e-7,6.3417402237101
GO:0003714,176,-0.6998656362304342,-0.4216192207897576,0.13447280677866166,3.582043626300877e-8,transcription corepressor activity,MF,0.35349479286011276,5.113938879250826e-7,5.113938879250826e-7,6.291244466877286
GO:0003712,122,-0.7011795047770149,-0.4670301018505942,0.06700678418613608,3.770770283779775e-8,transcription coregulator activity,MF,0.23540079680050946,5.271222625867143e-7,5.271222625867143e-7,6.2780886413179795
