GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0009986,352,-1.1528559713506494,-0.07445461282998553,1.761825499775101e-23,0.015408172627422825,cell surface,ALL,9.901459308736068e-21,0.3737867489184875,9.901459308736068e-21,20.004300792975616
GO:0005788,204,-0.7333681900664446,-0.07166830879902915,4.973354249094463e-21,0.16525575730170078,endoplasmic reticulum lumen,ALL,2.096268815993316e-18,0.7312892567209122,2.096268815993316e-18,17.678553026165037
GO:0007155,355,-1.3390418265348347,-0.053682601260406235,1.539913844115966e-17,0.3993858977317758,cell adhesion,ALL,4.3271579019658645e-15,0.8596476163152044,4.3271579019658645e-15,14.363797256707622
GO:0031012,221,-1.113194431984952,-0.16001237845591543,1.1168694688453441e-14,0.002009349599736934,extracellular matrix,ALL,2.8969875761126924e-12,0.17373145770033183,2.8969875761126924e-12,11.53805336728753
GO:0005925,360,-1.6374970714789434,-0.09927694386934026,2.4318975564240937e-14,5.175051226814579e-4,focal adhesion,ALL,5.8573989716157455e-12,0.09184354072009875,5.8573989716157455e-12,11.232295193375162
GO:0006486,143,-0.997726878097805,0.061407377770587,8.42982692989663e-12,0.25347753511281507,protein glycosylation,ALL,1.895025093840762e-9,0.7981554856729232,1.895025093840762e-9,8.722385034748987
GO:0046718,72,-0.370862663655858,-0.05304763421913342,2.3543247557024604e-11,0.30645691376142886,symbiont entry into host cell,ALL,4.961739422642936e-9,0.830656829710483,4.961739422642936e-9,8.30436604745596
GO:0042470,85,-0.7323456158445104,-0.06500018915879756,4.829798193287574e-11,0.19077796593349836,melanosome,ALL,9.580046769273941e-9,0.7505631320287088,9.580046769273941e-9,8.018632370713938
GO:0005509,365,-1.7512128884229774,-0.009514739451890136,6.35673260194737e-11,0.968612551142806,calcium ion binding,ALL,1.190827907431474e-8,0.9977897984648663,1.190827907431474e-8,7.924150996076477
GO:0016324,199,-1.3349336481399563,0.001133301836142946,2.0703899309082208e-10,0.8485862073125123,apical plasma membrane,ALL,3.67439728790659e-8,0.9802321175041704,3.67439728790659e-8,7.434813888145227
GO:0001525,183,-1.3729194414964816,-0.11077405240276555,3.143342799336624e-10,0.06458810130629603,angiogenesis,ALL,5.2996759596815484e-8,0.5823290845048935,5.2996759596815484e-8,7.275750683837787
GO:0005911,154,-1.2264774424741716,-0.008071475674614106,3.699289235533024e-10,0.9754826505705049,cell-cell junction,ALL,5.9400015724844564e-8,0.9977897984648663,5.9400015724844564e-8,7.226213440048902
GO:0016323,150,-1.195168440377779,-0.07666732193595169,4.037989588915912e-10,0.11739709505023405,basolateral plasma membrane,ALL,6.189136769920208e-8,0.663446091356489,6.189136769920208e-8,7.208369919994967
GO:0045296,284,-1.7058851640868153,0.011051437632522873,5.751007802936759e-10,0.9841301524065177,cadherin binding,ALL,8.431477526740326e-8,0.9977897984648663,8.431477526740326e-8,7.074096313218323
GO:0043235,103,-0.796709718663517,-0.016936572492476355,1.161860798457244e-9,0.9118041732972397,receptor complex,ALL,1.5671178449591309e-7,0.9913799021284874,1.5671178449591309e-7,6.804898343996557
GO:0005178,95,-0.8046554269490003,-0.23487764892437268,8.38852588514467e-9,0.004702482548265572,integrin binding,ALL,1.08792728018107e-6,0.27339260608192256,1.08792728018107e-6,5.963400133012441
GO:0016757,169,-1.4416760223174065,0.02006780821774866,9.309240487433897e-9,0.9857559754228022,glycosyltransferase activity,ALL,1.1626207008750778e-6,0.9977897984648663,1.1626207008750778e-6,5.934561948543076
GO:0005201,68,-0.38746523097094787,-0.10175329954183207,1.131127702392594e-8,0.46023501805194955,extracellular matrix structural constituent,ALL,1.3622009330242238e-6,0.8777785525289445,1.3622009330242238e-6,5.865758826588182
GO:0070161,311,-1.7970126408344473,-0.02471544529083322,3.378690818590227e-8,0.1764031427263875,anchoring junction,ALL,3.928601875960774e-6,0.7398400463599236,3.928601875960774e-6,5.405761980308591
GO:0045121,141,-1.3182073781448305,-0.03071338177852986,3.5580434763488325e-8,0.2228098558553609,membrane raft,ALL,3.9668068785561335e-6,0.7774612668546502,3.9668068785561335e-6,5.401558942358971
GO:0030246,85,-0.923564157510889,-0.024491220748820444,3.646827201519577e-8,0.21421450492598723,carbohydrate binding,ALL,3.9668068785561335e-6,0.7682643476103473,3.9668068785561335e-6,5.401558942358971
GO:0001618,49,-0.2432643997614831,-0.10510584995697275,3.7922160981744384e-8,0.15937539671735085,virus receptor activity,ALL,3.9960477134513145e-6,0.7233026079823783,3.9960477134513145e-6,5.398369334869251
GO:0008284,301,-1.8278920529691605,-0.0648472265141,6.43707791132896e-8,0.04756424797087204,positive regulation of cell population proliferation,ALL,6.5775232475761385e-6,0.5436835395179,6.5775232475761385e-6,5.181937608270585
GO:0005604,65,-0.4632649787005545,-0.15331904516748246,1.1964857505237213e-7,0.08642177788169628,basement membrane,ALL,1.1866323384605848e-5,0.6070456236336761,1.1866323384605848e-5,4.925683820313741
GO:0038023,139,-1.448872093977493,-0.014931112009912748,1.552080367318778e-7,0.7733621192748849,signaling receptor activity,ALL,1.4953185710282627e-5,0.9670400996842679,1.4953185710282627e-5,4.825266272957742
GO:0019838,35,0.2973963165150864,-0.040488495697752806,2.1053053916687768e-7,0.8180939924628402,growth factor binding,ALL,1.9719693835297544e-5,0.9759700167457465,1.9719693835297544e-5,4.705099832126706
GO:0009897,134,-1.3363050497967028,-0.1247682628702567,2.9732710567178724e-7,0.016670404065800816,external side of plasma membrane,ALL,2.709694595473693e-5,0.3805175197961481,2.709694595473693e-5,4.5670796548727495
GO:0034976,92,-1.151149144109561,-0.06078646301209733,4.898039390444076e-7,0.25089394099976714,response to endoplasmic reticulum stress,ALL,4.234920211430109e-5,0.7981554856729232,4.234920211430109e-5,4.373154767638363
GO:0051897,130,-1.3598898772299037,-0.06861957257882127,5.062190896521942e-7,0.3816759474424503,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,ALL,4.267426925767997e-5,0.8506353567587195,4.267426925767997e-5,4.369833906887498
GO:0042060,48,-0.49511077952442767,-0.11823094633984861,7.20998870854999e-7,0.10842741569071186,wound healing,ALL,5.929776079324528e-5,0.6526609330777556,5.929776079324528e-5,4.226961706188832
GO:0005793,69,-0.9757794039757363,0.06591247462712826,8.904444107694422e-7,0.47641094303104414,endoplasmic reticulum-Golgi intermediate compartment,ALL,7.082822081218193e-5,0.88364009895527,7.082822081218193e-5,4.149793667437196
GO:0022626,88,-1.5981550614342657,-0.13978635967781927,9.032068490284172e-7,3.5417004555114397e-4,cytosolic ribosome,ALL,7.082822081218193e-5,0.07464133709990359,7.082822081218193e-5,4.149793667437196
GO:0016477,231,-1.7706117156059575,0.01304057434807647,1.1810253009580373e-6,0.269182581143762,cell migration,ALL,8.886076256843144e-5,0.8104352197271317,8.886076256843144e-5,4.051289964133176
GO:0003756,14,1.028572056128369,-0.06782290222235858,1.483555577760605e-6,0.3625533797666254,protein disulfide isomerase activity,ALL,1.0643722145125023e-4,0.8431241355676281,1.0643722145125023e-4,3.9729064712508646
GO:0050839,59,-0.9816790187884668,0.0399517563168316,1.9376637184474418e-6,0.6518342705385225,cell adhesion molecule binding,ALL,1.3334289915519946e-4,0.9411207214936904,1.3334289915519946e-4,3.875030106631952
