ontology,metric,direction,rank,GO,TERM,n_genes,effect,fdr,neglog10_fdr
BP,CLIP enrichment,Negative,1,GO:0007155,cell adhesion,355,-1.3390418265348347,3.3893503708992413e-14,13.469883534059353
BP,CLIP enrichment,Negative,2,GO:0006486,protein glycosylation,143,-0.997726878097805,9.27702453635124e-9,8.032591294756644
BP,CLIP enrichment,Negative,3,GO:0046718,symbiont entry into host cell,72,-0.370862663655858,1.7272895957670384e-8,7.762634842919055
BP,CLIP enrichment,Negative,4,GO:0001525,angiogenesis,183,-1.3729194414964816,1.7296243753349778e-7,6.762048202901125
BP,CLIP enrichment,Negative,5,GO:0008284,positive regulation of cell population proliferation,301,-1.8278920529691605,2.8336016965670084e-5,4.547661196128073
BP,CLIP enrichment,Negative,6,GO:0034976,response to endoplasmic reticulum stress,92,-1.151149144109561,1.5916974518921136e-4,3.798139478973149
BP,CLIP enrichment,Negative,7,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,130,-1.3598898772299035,1.5916974518921136e-4,3.798139478973149
BP,CLIP enrichment,Negative,8,GO:0042060,wound healing,48,-0.49511077952442767,1.983648143439816e-4,3.702535359860397
BP,CLIP enrichment,Negative,9,GO:0016477,cell migration,231,-1.7706117156059575,2.8882629860096e-4,3.539363265336168
BP,CLIP enrichment,Negative,10,GO:0006665,sphingolipid metabolic process,38,-0.5640164547798991,5.110750393060204e-4,3.2915153292900636
BP,CLIP enrichment,Negative,11,GO:0008033,tRNA processing,99,-3.9567210612367982,8.66210685444909e-4,3.0623764631816353
BP,CLIP enrichment,Negative,12,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,76,-1.195482694574633,0.00164819652609733,2.782991005557007
BP,CLIP enrichment,Negative,13,GO:0009306,protein secretion,43,-0.7179051318231607,0.0019207644731579,2.716525885673943
BP,CLIP enrichment,Negative,14,GO:0006493,protein O-linked glycosylation,45,-0.8158118623076928,0.00214448887230029,2.6686762029623847
BP,CLIP enrichment,Negative,15,GO:0006869,lipid transport,122,-1.6942104559188675,0.00288488147592257,2.539872024938124
BP,CLIP enrichment,Positive,1,GO:0034975,protein folding in endoplasmic reticulum,10,1.9007539868924008,7.457068279343301e-4,3.12743188034957
BP,CLIP enrichment,Positive,2,GO:0035987,endodermal cell differentiation,24,0.3408118616904232,0.0019207644731579,2.716525885673943
BP,CLIP enrichment,Positive,3,GO:0035633,maintenance of blood-brain barrier,26,0.04432113516121377,0.00214257617297878,2.66906372907044
BP,CLIP enrichment,Positive,4,GO:0006829,zinc ion transport,17,0.34969944388796137,0.0041216880994865,2.384924875680773
BP,CLIP enrichment,Positive,5,GO:2001046,positive regulation of integrin-mediated signaling pathway,10,1.4265791641396397,0.0041216880994865,2.384924875680773
BP,CLIP enrichment,Positive,6,GO:0071577,zinc ion transmembrane transport,20,0.0994283636274869,0.00528419378992137,2.2770212636634484
BP,CLIP enrichment,Positive,7,GO:0033627,cell adhesion mediated by integrin,14,0.8898842036767484,0.00656425125910258,2.182814803860054
BP,CLIP enrichment,Positive,8,GO:1903830,magnesium ion transmembrane transport,13,0.28015531975230373,0.00788808024023657,2.103028680253112
BP,CLIP enrichment,Positive,9,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,18,0.24762856725881344,0.01070154901545135,1.9705533550089152
BP,CLIP enrichment,Positive,10,GO:0015693,magnesium ion transport,12,0.3296795079749851,0.01163514895697335,1.9342280523619986
BP,CLIP enrichment,Positive,11,GO:0017121,plasma membrane phospholipid scrambling,13,0.2064188248420151,0.01243434654275423,1.9053770330987412
BP,CLIP enrichment,Positive,12,GO:0006613,cotranslational protein targeting to membrane,10,0.32050413208509704,0.01426826375790199,1.8456288710506281
BP,CLIP enrichment,Positive,13,GO:0051292,nuclear pore complex assembly,10,0.14356603679795424,0.02222774428581336,1.6531046081030973
BP,CLIP enrichment,Positive,14,GO:0045778,positive regulation of ossification,11,0.41061136187503217,0.03098639167578429,1.5088289938328105
BP,CLIP enrichment,Positive,15,GO:0014850,response to muscle activity,17,0.0025698542835376,0.03098639167578429,1.5088289938328105
BP,Expression change (KD),Negative,1,GO:0006865,amino acid transport,48,-0.4247557183067044,7.104340929375279e-4,3.1484762054229183
BP,Expression change (KD),Negative,2,GO:0071356,cellular response to tumor necrosis factor,64,-0.26699020661317757,0.01907652330442967,1.719500772571315
BP,Expression change (KD),Negative,3,GO:0003333,amino acid transmembrane transport,17,-0.5244160167999966,0.03673984847152353,1.434862639214666
BP,Expression change (KD),Positive,1,GO:0016567,protein ubiquitination,439,0.11161391983297166,0.01907652330442967,1.719500772571315
BP,Expression change (KD),Positive,2,GO:0051301,cell division,370,0.12990636009120776,0.01907652330442967,1.719500772571315
