GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0009986,352,-1.1528559713506494,-0.07445461282998553,1.761825499775101e-23,0.015408172627422825,cell surface,CC,1.550406439802089e-21,0.2805350050785949,1.550406439802089e-21,20.809554436394507
GO:0005788,204,-0.7333681900664446,-0.07166830879902915,4.973354249094463e-21,0.16525575730170078,endoplasmic reticulum lumen,CC,3.2824138044023454e-19,0.6708992696054031,3.2824138044023454e-19,18.48380666958393
GO:0031012,221,-1.113194431984952,-0.16001237845591543,1.1168694688453441e-14,0.002009349599736934,extracellular matrix,CC,4.914225662919514e-13,0.07578118490436436,4.914225662919514e-13,12.30854490444721
GO:0005925,360,-1.6374970714789434,-0.09927694386934026,2.4318975564240937e-14,5.175051226814579e-4,focal adhesion,CC,9.877245459937857e-13,0.04052832732878567,9.877245459937857e-13,12.005364153422654
GO:0042470,85,-0.7323456158445104,-0.06500018915879756,4.829798193287574e-11,0.19077796593349836,melanosome,CC,1.8215238900398853e-9,0.6908829381508795,1.8215238900398853e-9,8.739565128432794
GO:0016324,199,-1.3349336481399563,0.001133301836142946,2.0703899309082208e-10,0.8485862073125123,apical plasma membrane,CC,7.287772556796938e-9,0.9779500121331338,7.287772556796938e-9,8.137405189666971
GO:0005911,154,-1.2264774424741716,-0.008071475674614106,3.699289235533024e-10,0.9754826505705049,cell-cell junction,CC,1.220765447725898e-8,0.9914982095852767,1.220765447725898e-8,7.9133677713898
GO:0016323,150,-1.195168440377779,-0.07666732193595169,4.037989588915912e-10,0.11739709505023405,basolateral plasma membrane,CC,1.2541520605574127e-8,0.5906580494382921,1.2541520605574127e-8,7.901649803969927
GO:0043235,103,-0.796709718663517,-0.016936572492476355,1.161860798457244e-9,0.9118041732972397,receptor complex,CC,3.2287500083443416e-8,0.9805144674153616,3.2287500083443416e-8,7.490965579696241
GO:0070161,311,-1.7970126408344473,-0.02471544529083322,3.378690818590227e-8,0.1764031427263875,anchoring junction,CC,8.919743761078199e-7,0.6737246823298784,8.919743761078199e-7,6.049647621492509
GO:0045121,141,-1.3182073781448305,-0.03071338177852986,3.5580434763488325e-8,0.2228098558553609,membrane raft,CC,8.94593788339135e-7,0.7142096447636022,8.94593788339135e-7,6.048374121700364
GO:0005604,65,-0.4632649787005545,-0.15331904516748246,1.1964857505237213e-7,0.08642177788169628,basement membrane,CC,2.871565801256931e-6,0.5172261147008729,2.871565801256931e-6,5.541881227512585
GO:0009897,134,-1.3363050497967028,-0.1247682628702567,2.9732710567178724e-7,0.016670404065800816,external side of plasma membrane,CC,6.825596164987116e-6,0.28604234383068095,6.825596164987116e-6,5.1658594102422395
GO:0005793,69,-0.9757794039757363,0.06591247462712826,8.904444107694422e-7,0.47641094303104414,endoplasmic reticulum-Golgi intermediate compartment,CC,1.8342046780269394e-5,0.8480599706171795,1.8342046780269394e-5,4.736552203247319
GO:0022626,88,-1.5981550614342657,-0.13978635967781927,9.032068490284172e-7,3.5417004555114397e-4,cytosolic ribosome,CC,1.8342046780269394e-5,0.04052832732878567,1.8342046780269394e-5,4.736552203247319
GO:0035577,43,-0.5365202580271607,0.03788165612254537,5.287225619606301e-6,0.9478036169917133,azurophil granule membrane,CC,9.970196882686167e-5,0.98872843565138,9.970196882686167e-5,4.001296265537899
GO:0030054,162,-1.629981234837305,-0.03913787126827949,6.956829621824258e-6,0.3577567027327896,cell junction,CC,1.2666227725252442e-4,0.7863341868706638,1.2666227725252442e-4,3.8973527080873622
GO:1903561,43,-0.7583951773633704,0.025324907264102376,1.8338506670333577e-5,0.9427753879169182,extracellular vesicle,CC,3.22757717397871e-4,0.98872843565138,3.22757717397871e-4,3.4911233646053383
GO:0070847,24,-4.90661168586527,0.12485397974663584,4.1316318893025215e-5,0.42307113095592197,core mediator complex,CC,7.037102056618487e-4,0.8255675666875198,7.037102056618487e-4,3.15260615050666
GO:0030134,36,-0.9286212799096885,-0.04867781612432533,4.3622807489984265e-5,0.3094834015149017,COPII-coated ER to Golgi transport vesicle,CC,7.197763235847404e-4,0.756586997221397,7.197763235847404e-4,3.1428024431868784
GO:0030667,55,-1.0633725428044063,-0.06351556474548943,5.205005975836573e-5,0.20590024353066066,secretory granule membrane,CC,8.328009561338516e-4,0.6909896570482628,8.328009561338516e-4,3.079458784886308
GO:0005764,393,-2.1555587353021144,-0.02308105603968008,5.38310179485147e-5,0.34314729551271306,lysosome,CC,8.359640434357576e-4,0.7797218045309642,8.359640434357576e-4,3.0778124020744606
GO:0012505,222,-2.002265691211995,0.05772784510831413,6.0814996293018826e-5,0.0853690212232487,endomembrane system,CC,9.159050455636096e-4,0.5172261147008729,9.159050455636096e-4,3.0381495485213654
GO:0005796,45,-1.106002717617188,0.008037036935948963,6.244807128842793e-5,0.9006796401344681,Golgi lumen,CC,9.159050455636096e-4,0.9805144674153616,9.159050455636096e-4,3.0381495485213654
GO:0033116,67,-1.4145400798338317,-0.015042080608682833,6.527255285097346e-5,0.5696833986521382,endoplasmic reticulum-Golgi intermediate compartment membrane,CC,9.314569704138916e-4,0.8718632883719681,9.314569704138916e-4,3.030837202972186
GO:0071682,10,0.706187600347033,-0.2535303595786647,7.969567703811406e-5,0.06265521986804051,endocytic vesicle lumen,CC,0.001107350459898006,0.4659430435257097,0.001107350459898006,2.955714909643108
GO:0005923,101,-1.5844118253594155,-0.05416673540320924,9.280127429945272e-5,0.2694286655770981,bicellular tight junction,CC,0.0012249768207527759,0.7448698950263773,0.0012249768207527759,2.9118721290254936
GO:0005759,378,-3.3129140507791703,-0.06447592350523432,9.901847983396838e-5,9.875150758486561e-4,mitochondrial matrix,CC,0.001244803746484174,0.0474007236407355,0.001244803746484174,2.9048991132568966
GO:0097542,44,-4.270809307488504,0.01036619559398432,1.0951261587449007e-4,0.8339824927343331,ciliary tip,CC,0.0013447130507379247,0.9779500121331338,0.0013447130507379247,2.871370380179481
GO:0030057,20,0.04870263484800796,-0.08618228426779942,1.7721880291452969e-4,0.5324447857500838,desmosome,CC,0.0020793672875304816,0.8571062404757447,0.0020793672875304816,2.682068792602451
GO:0000922,141,-3.55707911041205,0.03216505895769602,1.9821802861885084e-4,0.5629115134113903,spindle pole,CC,0.002226789768313899,0.8718632883719681,0.002226789768313899,2.6523207828631334
GO:0005743,409,-3.299945747073264,0.030232942263649847,1.9539023255762535e-4,0.5086165891988215,mitochondrial inner membrane,CC,0.002226789768313899,0.8520112365132098,0.002226789768313899,2.6523207828631334
GO:0030424,296,-2.1606138707730205,0.024965259706678837,2.0266852946282106e-4,0.9097151357208103,axon,CC,0.0022293538240910314,0.9805144674153616,0.0022293538240910314,2.6518209985204155
GO:0001726,92,-1.6765224904365057,-0.04419928704863528,2.1392341337178022e-4,0.4951262590729715,ruffle,CC,0.0023051339236795907,0.8480599706171795,0.0023051339236795907,2.6373038378988656
GO:0005635,178,-2.0040871256928923,0.006229040511430817,2.870673980696061e-4,0.644692741978382,nuclear envelope,CC,0.0030314317236150405,0.9077273807055618,0.0030314317236150405,2.5183522088544326
GO:0012507,48,-1.3565816647601225,-0.04753842297172764,3.0299167106726996e-4,0.3173803286194739,ER to Golgi transport vesicle membrane,CC,0.0031368549475199715,0.756586997221397,0.0031368549475199715,2.5035055632111294
GO:0005770,134,-1.902609293944179,0.06560893847051096,3.183758079219059e-4,0.2752442530157472,late endosome,CC,0.003232738972745506,0.7448698950263773,0.003232738972745506,2.4904293610466133
GO:0043202,72,-1.5007511664030668,-0.12806380896876757,3.66212009309669e-4,0.040065120732864036,lysosomal lumen,CC,0.0036483007719906647,0.37905587795754836,0.0036483007719906647,2.4379093649074113
GO:0031528,15,0.06015977312706553,-0.14478878193044303,4.3039200149563807e-4,0.44464782364958905,microvillus membrane,CC,0.00420827734795735,0.8331834753746911,0.00420827734795735,2.3758956455847864
GO:1990531,10,0.738141453149567,0.23625996905906538,4.426068783606447e-4,0.11256897317073195,phospholipid-translocating ATPase complex,CC,0.004249026032262189,0.5906580494382921,0.004249026032262189,2.3717106081354355
GO:0045177,60,-1.4917589552970851,0.09948308334801251,5.22637327492243e-4,0.2768443654727747,apical part of cell,CC,0.0049277233734982915,0.7448698950263773,0.0049277233734982915,2.3073536800512686
GO:0070971,23,-0.8254429393009726,0.13003852013974257,5.638045663427082e-4,0.24341918703111026,endoplasmic reticulum exit site,CC,0.005222610719806139,0.7220524199574507,0.005222610719806139,2.2821123441688815
GO:0000177,13,-5.2235730130021185,0.02587886358685314,5.830066880048007e-4,0.8967683779039538,cytoplasmic exosome (RNase complex),CC,0.005307371228733358,0.9805144674153616,0.005307371228733358,2.2751205341999223
