TERM,GO,dataset,n_genes,effect,fdr,neglog10_fdr
cell surface,GO:0009986,GSE37114,438,0.16411573826077688,4.876089832122296e-32,31.3119283019799
Golgi membrane,GO:0000139,GSE37114,481,-0.01794415853437205,3.102205314201732e-21,20.508329462526888
external side of plasma membrane,GO:0009897,GSE37114,180,0.26041864489571936,1.2474848323837892e-15,14.903964726066953
protein glycosylation,GO:0006486,GSE37114,140,0.3133032316919236,4.221848486601409e-15,14.374497356678212
cell adhesion,GO:0007155,GSE37114,301,0.03796697018236057,4.221848486601409e-15,14.374497356678212
endoplasmic reticulum lumen,GO:0005788,GSE37114,90,0.5357616834141383,1.0072685864786698e-14,13.996854710109204
calcium ion binding,GO:0005509,GSE37114,372,-0.04738312384579784,3.862258617481037e-13,12.413158649152042
transmembrane transport,GO:0055085,GSE37114,321,-0.04832928758945172,1.808839144060087e-11,10.742600052240897
apical plasma membrane,GO:0016324,GSE37114,275,-0.01982272210566181,1.254879477757844e-10,9.901397983073922
monoatomic ion transport,GO:0006811,GSE37114,335,-0.09680496372957464,2.7223979119373273e-9,8.565048397013351
cytosolic ribosome,GO:0022626,GSE37114,100,-1.3988876166896085,6.997851091204627e-9,8.155035303201526
extracellular matrix,GO:0031012,GSE37114,215,-0.02257530579556072,1.2704769714237631e-8,7.8960332025335065
cytoplasmic translation,GO:0002181,GSE37114,119,-1.2845659815885997,6.158827292559807e-8,7.210501974338048
translation,GO:0006412,GSE37114,271,-0.9611436080576148,3.918668550260733e-7,6.40686146856586
structural constituent of ribosome,GO:0003735,GSE37114,161,-1.1236120676023165,1.913009970134987e-6,5.718282766531342
protein disulfide isomerase activity,GO:0003756,GSE37114,15,0.9774004063002448,1.0077382177426546e-4,3.996652270822406
growth factor binding,GO:0019838,GSE37114,35,0.46251518242292505,2.2286402312894583e-4,3.651960033886926
serine-type endopeptidase inhibitor activity,GO:0004867,GSE37114,35,0.3640559225146508,8.175045132740254e-4,3.0875098410106805
ribonucleoprotein complex,GO:1990904,GSE37114,373,-0.8273738637917756,0.00117761355484711,2.928997204058357
endodermal cell differentiation,GO:0035987,GSE37114,21,0.2357293435695359,0.02558609663005005,1.5919959642625918
peptidase inhibitor activity,GO:0030414,GSE37114,42,0.07272420926522451,0.03188695299595304,1.4963869784135695
extracellular matrix,GO:0031012,GSE134033,278,-0.9151265374730227,5.55653448395995e-23,22.25519598606795
cytosolic ribosome,GO:0022626,GSE134033,89,2.9523374542348058,3.746329423964875e-19,18.426394036699207
translation,GO:0006412,GSE134033,257,1.5502061685324942,7.529491846612182e-19,18.123234332651766
ribonucleoprotein complex,GO:1990904,GSE134033,355,1.323756354752378,2.2262645340298974e-18,17.65242323225486
cytoplasmic translation,GO:0002181,GSE134033,109,2.5104192121441264,9.564106830388931e-18,17.019355581490885
structural constituent of ribosome,GO:0003735,GSE134033,145,2.035384859392986,6.910698554289542e-15,14.160478050608502
cell surface,GO:0009986,GSE134033,444,-0.41833972111000184,2.0568447657788324e-14,13.68679848414857
peptidase inhibitor activity,GO:0030414,GSE134033,60,-1.6696852846212906,1.4257220832877958e-11,10.845965123472656
serine-type endopeptidase inhibitor activity,GO:0004867,GSE134033,50,-1.804645258521267,2.4602162393740675e-11,10.609026719140664
collagen trimer,GO:0005581,GSE134033,55,-1.3042469749454375,6.0887582462204975e-9,8.215471269239409
external side of plasma membrane,GO:0009897,GSE134033,204,-0.48290075244975034,1.11394626341689e-8,7.953135758950809
