TERM,GO,dataset,n_genes,effect,fdr,neglog10_fdr
cell adhesion,GO:0007155,GSE37114,301,0.03796697018236057,1.947863764389147e-14,13.71044142140148
protein glycosylation,GO:0006486,GSE37114,140,0.3133032316919236,1.947863764389147e-14,13.71044142140148
transmembrane transport,GO:0055085,GSE37114,321,-0.04832928758945172,7.153343718323265e-11,10.145490906594778
monoatomic ion transport,GO:0006811,GSE37114,335,-0.09680496372957464,1.1214747905493295e-8,7.9502104844068
cell-cell adhesion,GO:0098609,GSE37114,127,0.14736047899935403,1.1147848068948106e-7,6.952808958802212
cytoplasmic translation,GO:0002181,GSE37114,119,-1.2845659815885997,2.0973280459619777e-7,6.678333635624944
homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,GSE37114,65,0.3260576733459338,1.122934501891168e-6,5.94964557436793
translation,GO:0006412,GSE37114,271,-0.9611436080576148,1.1299896979262555e-6,5.946925515945053
angiogenesis,GO:0001525,GSE37114,197,-0.05646512414456867,1.3087050837977174e-6,5.883158210523068
axon guidance,GO:0007411,GSE37114,131,0.04307546720296276,1.3087050837977174e-6,5.883158210523068
DNA repair,GO:0006281,GSE37114,386,-0.7656973285012874,0.00119754968574688,2.921706458875355
translation at presynapse,GO:0140236,GSE37114,48,-1.3150608108352813,0.00254834293319062,2.5937421289384157
extracellular matrix organization,GO:0030198,GSE37114,88,-0.08099539350062987,0.00307073740019779,2.5127573214668373
G protein-coupled receptor signaling pathway,GO:0007186,GSE37114,188,-0.21592776188019908,0.00507950732209016,2.294178409305442
zinc ion transport,GO:0006829,GSE37114,22,0.43788515419772694,0.00864453547283436,2.0632583392327515
positive regulation of cell population proliferation,GO:0008284,GSE37114,324,-0.32023108128803096,0.01366911841558894,1.8642594941806214
maintenance of blood-brain barrier,GO:0035633,GSE37114,12,0.5806791248226967,0.01618853890508459,1.7907923466817008
symbiont entry into host cell,GO:0046718,GSE37114,38,0.10146934147883284,0.03014377650423665,1.520802338875824
endodermal cell differentiation,GO:0035987,GSE37114,21,0.2357293435695359,0.03093467195439311,1.509554485079645
translation,GO:0006412,GSE134033,257,1.5502061685324942,5.9901754829635884e-18,17.222560454711452
cytoplasmic translation,GO:0002181,GSE134033,109,2.5104192121441264,4.438488412549427e-17,16.352764909583936
chromatin organization,GO:0006325,GSE134033,356,1.0148697894128695,1.1030360380201697e-13,12.957410298205664
DNA repair,GO:0006281,GSE134033,372,0.970914003189681,1.5687929131567312e-13,12.804434381211689
translation at presynapse,GO:0140236,GSE134033,41,3.7486642091684854,1.6263060440701545e-13,12.788797723967008
G protein-coupled receptor signaling pathway,GO:0007186,GSE134033,173,-0.3836093568635552,1.5662051521115305e-6,5.8051513517324125
extracellular matrix organization,GO:0030198,GSE134033,108,-0.6022105479266514,1.2596714560524254e-5,4.899742711572281
defense response to bacterium,GO:0042742,GSE134033,88,-0.6406308516342166,1.882726951479182e-4,3.7252126603680624
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193,GSE134033,36,-1.0165844659675938,3.6766873488712623e-4,3.4345432992671237
cell adhesion,GO:0007155,GSE134033,332,-0.16308626511385943,3.856118897909384e-4,3.4138495837137413
monoatomic ion transport,GO:0006811,GSE134033,312,-0.09458183900402518,0.00274874267934594,2.5608659142746806
cell-cell adhesion,GO:0098609,GSE134033,135,-0.27303053168086044,0.00948777445311966,2.0228356480660086
transmembrane transport,GO:0055085,GSE134033,291,-0.01731790899890156,0.03608226518117645,1.4427062060301632
cell adhesion,GO:0007155,GSE39872,355,-1.3390418265348347,3.3893503708992413e-14,13.469883534059353
protein glycosylation,GO:0006486,GSE39872,143,-0.997726878097805,9.27702453635124e-9,8.032591294756644
symbiont entry into host cell,GO:0046718,GSE39872,72,-0.370862663655858,1.7272895957670384e-8,7.762634842919055
angiogenesis,GO:0001525,GSE39872,183,-1.3729194414964816,1.7296243753349778e-7,6.762048202901125
positive regulation of cell population proliferation,GO:0008284,GSE39872,301,-1.8278920529691605,2.8336016965670084e-5,4.547661196128073
protein folding in endoplasmic reticulum,GO:0034975,GSE39872,10,1.9007539868924008,7.457068279343301e-4,3.12743188034957
homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,GSE39872,76,-1.195482694574633,0.00164819652609733,2.782991005557007
endodermal cell differentiation,GO:0035987,GSE39872,24,0.3408118616904232,0.0019207644731579,2.716525885673943
maintenance of blood-brain barrier,GO:0035633,GSE39872,26,0.04432113516121377,0.00214257617297878,2.66906372907044
transmembrane transport,GO:0055085,GSE39872,291,-2.0472929018001462,0.0041216880994865,2.384924875680773
zinc ion transport,GO:0006829,GSE39872,17,0.34969944388796137,0.0041216880994865,2.384924875680773
positive regulation of integrin-mediated signaling pathway,GO:2001046,GSE39872,10,1.4265791641396397,0.0041216880994865,2.384924875680773
cell-cell adhesion,GO:0098609,GSE39872,139,-1.665868723431834,0.00503770983642975,2.2977668507455093
extracellular matrix organization,GO:0030198,GSE39872,73,-1.301811609616608,0.00643630328553733,2.1913634996674807
axon guidance,GO:0007411,GSE39872,139,-1.9334241991715757,0.02251526416058054,1.6475229533064464
monoatomic ion transport,GO:0006811,GSE39872,336,-2.245771804533621,0.02988630348940511,1.5245277976884055
