TERM,GO,dataset,n_genes,effect,fdr,neglog10_fdr
cell surface,GO:0009986,GSE37114,438,0.16411573826077688,7.464934615647625e-33,32.12697399184891
Golgi membrane,GO:0000139,GSE37114,481,-0.01794415853437205,4.749247990115722e-22,21.323375152395897
external side of plasma membrane,GO:0009897,GSE37114,180,0.26041864489571936,1.909807453999252e-16,15.719010415935962
endoplasmic reticulum lumen,GO:0005788,GSE37114,90,0.5357616834141383,1.7792931499187252e-15,14.74975249322937
receptor complex,GO:0043235,GSE37114,119,0.29834729853459857,1.2831003116814299e-11,10.891739389527846
basolateral plasma membrane,GO:0016323,GSE37114,192,0.08046416795955819,1.5835560621931773e-11,10.800366556813604
apical plasma membrane,GO:0016324,GSE37114,275,-0.01982272210566181,2.5214806466912176e-11,10.598344360864937
cytosolic ribosome,GO:0022626,GSE37114,100,-1.3988876166896085,1.44628131494544e-9,8.839747224575529
extracellular matrix,GO:0031012,GSE37114,215,-0.02257530579556072,2.6859616698912682e-9,8.570900189237479
basement membrane,GO:0005604,GSE37114,77,0.1756265758575759,1.3497643701606893e-7,6.869742040149908
postsynaptic membrane,GO:0045211,GSE37114,167,-0.00369353828190753,5.012362847681216e-7,6.299957497725407
cytosolic large ribosomal subunit,GO:0022625,GSE37114,55,-1.5484821944202594,7.483844820584901e-7,6.125875226284586
ribosome,GO:0005840,GSE37114,197,-1.036688178977997,9.211425607422884e-7,6.03567315096227
phospholipid-translocating ATPase complex,GO:1990531,GSE37114,10,1.1163620461341364,2.9733355428579065e-4,3.5267560776135034
ribonucleoprotein complex,GO:1990904,GSE37114,373,-0.8273738637917756,4.982510897324878e-4,3.3025517427744115
integrin complex,GO:0008305,GSE37114,18,0.49330076664169825,0.0049545703064604,2.3049940044733805
melanosome,GO:0042470,GSE37114,86,-0.13997269339750132,0.00691547896338155,2.1601777354461977
microvillus membrane,GO:0031528,GSE37114,25,0.15869491660467314,0.01047047394505778,1.9800336595757162
extracellular matrix,GO:0031012,GSE134033,278,-0.9151265374730227,9.566590114778943e-24,23.019242833197737
cytosolic ribosome,GO:0022626,GSE134033,89,2.9523374542348058,6.757133545705794e-20,19.170237497740708
ribonucleoprotein complex,GO:1990904,GSE134033,355,1.323756354752378,4.2709696303330857e-19,18.369473516708425
cell surface,GO:0009986,GSE134033,444,-0.41833972111000184,4.966926106946942e-15,14.303912300963887
ribosome,GO:0005840,GSE134033,181,1.6771129240132028,4.519761010514897e-13,12.344884528586547
cytosolic large ribosomal subunit,GO:0022625,GSE134033,48,3.2265214884764672,1.3411859121313792e-11,10.87251101706527
postsynaptic density,GO:0014069,GSE134033,287,1.083101750050733,1.6584397605167867e-11,10.780300298730138
collagen trimer,GO:0005581,GSE134033,55,-1.3042469749454375,1.7471517729176399e-9,8.75766936675284
external side of plasma membrane,GO:0009897,GSE134033,204,-0.48290075244975034,3.2877637289197535e-9,8.483099400047228
basement membrane,GO:0005604,GSE134033,88,-0.9446504099348868,5.0578294955160666e-8,7.296035815245594
endoplasmic reticulum lumen,GO:0005788,GSE134033,87,-0.2978761554276055,0.03243056680312126,1.4890454609071457
receptor complex,GO:0043235,GSE134033,129,-0.07166755509566038,0.03538534988601852,1.4511765057866903
Golgi membrane,GO:0000139,GSE134033,464,0.06105200886066397,0.03541693358068995,1.4507890429944714
cell surface,GO:0009986,GSE39872,352,-1.1528559713506494,1.550406439802089e-21,20.809554436394507
endoplasmic reticulum lumen,GO:0005788,GSE39872,204,-0.7333681900664446,3.282413804402346e-19,18.48380666958393
extracellular matrix,GO:0031012,GSE39872,221,-1.113194431984952,4.914225662919514e-13,12.30854490444721
focal adhesion,GO:0005925,GSE39872,360,-1.6374970714789434,9.877245459937857e-13,12.005364153422654
melanosome,GO:0042470,GSE39872,85,-0.7323456158445104,1.821523890039885e-9,8.739565128432796
apical plasma membrane,GO:0016324,GSE39872,199,-1.3349336481399563,7.287772556796938e-9,8.137405189666971
basolateral plasma membrane,GO:0016323,GSE39872,150,-1.195168440377779,1.2541520605574129e-8,7.901649803969926
receptor complex,GO:0043235,GSE39872,103,-0.796709718663517,3.2287500083443416e-8,7.490965579696241
basement membrane,GO:0005604,GSE39872,65,-0.4632649787005545,2.871565801256931e-6,5.541881227512585
external side of plasma membrane,GO:0009897,GSE39872,134,-1.3363050497967028,6.825596164987116e-6,5.1658594102422395
cytosolic ribosome,GO:0022626,GSE39872,88,-1.5981550614342657,1.834204678026939e-5,4.73655220324732
endocytic vesicle lumen,GO:0071682,GSE39872,10,0.706187600347033,0.001107350459898,2.95571490964311
desmosome,GO:0030057,GSE39872,20,0.04870263484800796,0.00207936728753048,2.6820687926024513
microvillus membrane,GO:0031528,GSE39872,15,0.06015977312706553,0.00420827734795735,2.3758956455847864
phospholipid-translocating ATPase complex,GO:1990531,GSE39872,10,0.738141453149567,0.00424902603226218,2.3717106081354364
cytosolic large ribosomal subunit,GO:0022625,GSE39872,48,-1.672130951893364,0.00534266696552282,2.2722418966655935
ribonucleoprotein complex,GO:1990904,GSE39872,350,-2.484354436478756,0.0212228026846984,1.673197263689892
postsynaptic density,GO:0014069,GSE39872,219,-2.285772122768465,0.02688781082692998,1.5704445560692784
postsynaptic membrane,GO:0045211,GSE39872,151,-2.159147812415275,0.03327640618492032,1.4778635831726596
collagen trimer,GO:0005581,GSE39872,38,-1.3727623226680374,0.04113532986301405,1.3857850157490013
integrin complex,GO:0008305,GSE39872,12,0.11175804883505289,0.04391985915322311,1.3573390612964908
